Query	Quality Threshold	Repetition	Unfairness
Query 2	θ = 0.78	193470	0.03
Query 1	θ = 0.48	199773	0.01
Query 1	θ = 0.48	24872	0.070785
Query 1	θ = 0.98	143945	0.288792
Query 2	θ = 0.28	104301	0.01
Query 1	θ = 0.88	65568	0.274947
Query 1	θ = 0.28	171548	0.01
Query 2	θ = 0.48	150602	0.01
Query 2	θ = 0.78	137752	0.05
Query 3	θ = 0.78	133750	0.097302
Query 2	θ = 0.28	3331	0.01
Query 3	θ = 0.48	30096	0.050595
Query 1	θ = 0.88	92967	0.260327
Query 2	θ = 0.88	98979	0.045504
Query 3	θ = 0.28	1628	0.01
Query 3	θ = 0.88	91543	0.199059
Query 1	θ = 0.48	89209	0.032876
Query 1	θ = 0.88	159766	0.229534
Query 1	θ = 0.88	100422	0.256619
Query 2	θ = 0.48	142403	0.03
Query 1	θ = 0.78	114465	0.137073
Query 1	θ = 0.78	61582	0.174148
Query 2	θ = 0.48	145333	0.01
Query 1	θ = 0.88	195107	0.215126
Query 2	θ = 0.28	9709	0.01
Query 2	θ = 0.78	98457	0.04
Query 2	θ = 0.98	35340	0.028881
Query 3	θ = 0.48	8688	0.066821
Query 2	θ = 0.88	24624	0.081377
Query 1	θ = 0.28	76693	0.01
Query 3	θ = 0.48	114650	0.01
Query 2	θ = 0.48	77876	0.01
Query 3	θ = 0.48	107823	0.02
Query 2	θ = 0.28	69201	0.01
Query 1	θ = 0.88	108263	0.252719
Query 2	θ = 0.98	148969	0.082160
Query 1	θ = 0.78	10913	0.207503
Query 2	θ = 0.28	63476	0.01
Query 1	θ = 0.98	149644	0.292143
Query 1	θ = 0.48	133137	0.011217
Query 1	θ = 0.48	89160	0.032902
Query 3	θ = 0.28	719	0.01
Query 3	θ = 0.28	135659	0.01
Query 3	θ = 0.88	162849	0.172333
Query 2	θ = 0.28	174134	0.01
Query 3	θ = 0.88	57056	0.214956
Query 1	θ = 0.48	168904	0.01
Query 1	θ = 0.48	184635	0.01
Query 2	θ = 0.28	22582	0.01
Query 3	θ = 0.88	74081	0.206804
Query 2	θ = 0.88	126923	0.034627
Query 2	θ = 0.98	88813	0.059165
Query 2	θ = 0.48	91974	0.01
Query 1	θ = 0.78	185052	0.095333
Query 3	θ = 0.28	57738	0.01
Query 2	θ = 0.48	155560	0.02
Query 3	θ = 0.88	85391	0.201726
Query 1	θ = 0.98	43264	0.203779
Query 2	θ = 0.28	144825	0.01
Query 1	θ = 0.48	69541	0.043283
Query 3	θ = 0.78	15278	0.152268
Query 2	θ = 0.88	99248	0.045392
Query 2	θ = 0.78	184203	0.02
Query 1	θ = 0.48	36589	0.063284
Query 2	θ = 0.98	190322	0.093863
Query 3	θ = 0.48	51165	0.034900
Query 2	θ = 0.28	189456	0.01
Query 1	θ = 0.78	177502	0.099434
Query 1	θ = 0.98	62025	0.224582
Query 1	θ = 0.88	135055	0.240234
Query 3	θ = 0.48	11671	0.064509
Query 3	θ = 0.98	62879	0.169543
Query 3	θ = 0.98	88782	0.189877
Query 2	θ = 0.78	11306	0.006938
Query 3	θ = 0.78	124736	0.100854
Query 2	θ = 0.88	181711	0.016333
Query 2	θ = 0.88	49915	0.067859
Query 1	θ = 0.78	128231	0.128293
Query 3	θ = 0.28	86479	0.01
Query 1	θ = 0.28	27682	0.01
Query 2	θ = 0.88	179444	0.017025
Query 3	θ = 0.78	103463	0.109591
Query 2	θ = 0.28	144505	0.01
Query 3	θ = 0.98	102034	0.198931
Query 2	θ = 0.28	190732	0.01
Query 2	θ = 0.28	31388	0.01
